N,P,K,temperature,humidity,ph,soil_type,ingredient,fertilizer,crop
65,55,24,25.555289661911935,65.44800049739779,6.115541810586298,Sandy,Complete Fertilizer,Urea,Corn
82,42,20,23.110477149673656,54.84088403166151,6.727275805978768,Loamy,Complete Fertilizer,Ammonium Nitrate,Barley
58,37,59,16.44801705293161,52.50663012532069,7.295870586887474,Clayey,Phosphorus Fertilizer,Ammonium Nitrate,Soybean
55,59,31,18.628407423882585,50.57386899311861,7.1198488406057985,Sandy,Phosphorus Fertilizer,Superphosphate,Rice
65,47,55,15.186060544159721,54.97244530895662,6.666260438199167,Clayey,Organic Compost,Ammonium Nitrate,Corn
78,54,42,22.031519481967585,76.72566604949441,6.960443435514499,Clayey,Organic Compost,Potash,Soybean
52,30,50,19.518978911400005,57.24610525105045,6.229644940415597,Clayey,Phosphorus Fertilizer,Ammonium Nitrate,Corn
69,44,30,23.975362264466384,60.628139816516466,6.781931056197515,Sandy,Phosphorus Fertilizer,Superphosphate,Barley
85,37,29,19.458567115629258,53.16036453443999,6.432363182255114,Loamy,Complete Fertilizer,Superphosphate,Wheat
68,57,22,19.49878667260477,56.67083914244511,5.879872272915122,Clayey,Phosphorus Fertilizer,Potash,Soybean
75,40,33,26.14789798097405,65.57673712340616,6.903476547754514,Clayey,Potassium Fertilizer,Ammonium Nitrate,Rice
52,41,35,15.722142539675302,68.23258049286957,6.612929274697644,Clayey,Nitrogen Fertilizer,Ammonium Nitrate,Barley
68,41,29,28.54342492787981,57.36056942498633,6.217243163907183,Loamy,Phosphorus Fertilizer,Urea,Soybean
69,33,48,27.783958115867723,51.731964776753514,7.322678380157262,Loamy,Organic Compost,Calcium Nitrate,Rice
81,45,29,25.017070248396095,61.73098607382196,5.5418682356534665,Sandy,Potassium Fertilizer,Superphosphate,Soybean
56,33,31,23.898323551610765,57.02610112779003,6.131546302498992,Loamy,Organic Compost,Urea,Barley
90,34,49,28.384537472094785,56.58661769689406,5.613762795555293,Sandy,Potassium Fertilizer,Superphosphate,Soybean
82,53,20,17.779952692930717,78.79588408140366,7.033054632443254,Sandy,Phosphorus Fertilizer,Urea,Corn
89,34,24,16.184537432862427,68.48901457777173,6.904214908227585,Sandy,Nitrogen Fertilizer,Calcium Nitrate,Barley
88,37,39,18.592652548643073,66.70635329516287,6.162704437472634,Sandy,Organic Compost,Urea,Soybean
67,39,27,26.918674180502855,62.473253105699655,6.851325804414146,Sandy,Potassium Fertilizer,Superphosphate,Wheat
89,46,31,15.52005400089725,62.86833000290433,6.2918744523919,Clayey,Complete Fertilizer,Ammonium Nitrate,Soybean
50,57,20,23.742102526252346,66.22715011514242,7.012507582844869,Loamy,Phosphorus Fertilizer,Superphosphate,Corn
60,55,39,29.93156274286965,70.89289421108322,6.408367325473412,Clayey,Nitrogen Fertilizer,Potash,Rice
77,38,47,27.835441407563092,71.06438288545488,6.324559455663331,Sandy,Phosphorus Fertilizer,Potash,Rice
74,51,56,22.821685335653843,55.15081723116349,7.369459830976602,Loamy,Complete Fertilizer,Potash,Rice
99,48,56,15.954613639299636,65.00338256229881,6.001758199781401,Clayey,Nitrogen Fertilizer,Potash,Wheat
72,58,31,27.470602715785645,62.35874285102306,5.740894679993131,Clayey,Complete Fertilizer,Calcium Nitrate,Corn
80,43,56,23.984677622658158,76.11580898808153,6.669086226518917,Sandy,Phosphorus Fertilizer,Ammonium Nitrate,Barley
79,37,47,16.723994955893502,68.94256763655129,7.438643624568358,Clayey,Potassium Fertilizer,Ammonium Nitrate,Rice
91,38,34,16.407859272350343,65.97512199247946,6.255678427454374,Clayey,Phosphorus Fertilizer,Superphosphate,Corn
84,51,25,28.644402291548886,53.46183926536752,5.624073527257563,Clayey,Phosphorus Fertilizer,Urea,Soybean
56,40,39,25.03800394407118,68.16913667970235,6.178610534619135,Clayey,Phosphorus Fertilizer,Superphosphate,Wheat
65,52,33,27.439301989751335,53.516117170407,6.511863308639117,Clayey,Organic Compost,Superphosphate,Corn
75,30,21,28.18468350423401,60.11619726697256,5.823846013264427,Sandy,Complete Fertilizer,Superphosphate,Corn
97,43,28,23.576585280724835,54.285258944429955,6.816204436112984,Sandy,Complete Fertilizer,Superphosphate,Barley
98,34,56,22.761695276325618,70.76220941073106,7.495498778020401,Clayey,Complete Fertilizer,Ammonium Nitrate,Corn
51,50,39,21.45641115481485,56.187563415084576,6.403478951962888,Sandy,Organic Compost,Urea,Barley
50,55,45,19.75419881686679,61.75578119564078,6.2094571134604255,Sandy,Potassium Fertilizer,Superphosphate,Wheat
97,43,48,21.518939412880677,76.87024332856336,6.301408333668933,Loamy,Phosphorus Fertilizer,Ammonium Nitrate,Wheat
61,33,20,26.608194835952347,56.129491501969106,5.730292356790402,Clayey,Potassium Fertilizer,Superphosphate,Soybean
54,51,54,24.02885146522697,65.23415191876337,7.266547202852448,Sandy,Organic Compost,Potash,Barley
86,52,25,28.387849349322693,62.578149834980664,6.329651311042704,Sandy,Complete Fertilizer,Superphosphate,Barley
81,54,56,21.650700215687817,50.54372123137189,6.274548822849683,Clayey,Phosphorus Fertilizer,Superphosphate,Rice
58,30,24,24.10634368078131,73.78274340718438,6.819380545860948,Loamy,Nitrogen Fertilizer,Calcium Nitrate,Rice
90,51,52,24.46961329637983,52.07137718943799,6.384066841862247,Clayey,Nitrogen Fertilizer,Potash,Soybean
84,52,33,23.875457434594885,64.22765062930861,6.796466937615692,Loamy,Potassium Fertilizer,Urea,Wheat
68,48,31,25.539506596282745,66.82034884816849,5.622892580261575,Clayey,Complete Fertilizer,Superphosphate,Rice
97,37,39,18.561502025622094,68.85279369843761,7.127446687444455,Clayey,Nitrogen Fertilizer,Urea,Corn
65,44,43,22.68545666318686,70.65894887923626,7.381007905758805,Clayey,Potassium Fertilizer,Potash,Wheat
52,50,53,16.563372042125216,57.59817150568145,6.797530772318772,Clayey,Organic Compost,Superphosphate,Corn
69,44,44,20.76766991467219,50.29936329975348,7.409131857717622,Loamy,Potassium Fertilizer,Calcium Nitrate,Barley
73,38,48,22.315006029318965,71.70330987064736,5.802864628739926,Loamy,Potassium Fertilizer,Ammonium Nitrate,Wheat
82,50,58,24.783363893182088,66.06969798042735,6.454832378960708,Sandy,Potassium Fertilizer,Calcium Nitrate,Soybean
73,38,50,29.25796578879305,75.08353109621746,6.703613467890895,Clayey,Phosphorus Fertilizer,Calcium Nitrate,Barley
60,39,42,24.00976599822534,74.64165088702083,6.663473294842373,Loamy,Potassium Fertilizer,Ammonium Nitrate,Barley
98,49,57,26.153908742648397,75.2997850336365,6.302923558178087,Loamy,Potassium Fertilizer,Ammonium Nitrate,Corn
57,54,39,22.593990892428042,64.5528397993862,6.176168818732522,Loamy,Phosphorus Fertilizer,Ammonium Nitrate,Barley
85,50,42,24.51156047064497,60.00885187510597,5.753648045100838,Clayey,Phosphorus Fertilizer,Superphosphate,Rice
87,55,35,16.0639832420066,73.74674607774111,6.283484901124556,Sandy,Organic Compost,Urea,Wheat
89,38,27,18.815873712627706,63.538823390877646,5.82532163021097,Loamy,Complete Fertilizer,Urea,Rice
69,32,40,20.42779639807708,55.50326589210304,6.968731352984436,Clayey,Nitrogen Fertilizer,Ammonium Nitrate,Corn
84,49,20,22.087400325097704,75.64922058684422,5.91766187098918,Loamy,Nitrogen Fertilizer,Calcium Nitrate,Corn
97,54,27,15.684731182535756,76.47679630317042,5.617130610569068,Loamy,Potassium Fertilizer,Potash,Wheat
74,55,48,17.100361463299766,63.989292684205104,6.604732275634468,Sandy,Organic Compost,Ammonium Nitrate,Barley
84,40,51,19.152214616869585,52.27099181929363,6.690459465438803,Loamy,Potassium Fertilizer,Calcium Nitrate,Soybean
74,35,57,29.57299036351576,61.63478269750794,7.2438261225610105,Loamy,Nitrogen Fertilizer,Calcium Nitrate,Corn
78,31,24,19.970205106545762,74.1061297838781,6.653963224835364,Clayey,Phosphorus Fertilizer,Superphosphate,Wheat
67,36,41,22.230615871681238,77.05322085638686,6.190961707446892,Clayey,Complete Fertilizer,Superphosphate,Soybean
95,47,53,17.941465691075894,56.10418227492787,7.106023763052641,Sandy,Organic Compost,Urea,Barley
67,56,20,24.161701066136523,52.009208360758144,6.580557786374842,Clayey,Phosphorus Fertilizer,Urea,Corn
51,31,45,19.210248232739616,76.32051359398517,5.6585605692623835,Clayey,Complete Fertilizer,Potash,Wheat
84,56,29,18.1048886765764,61.68214816936626,6.631701120626493,Sandy,Organic Compost,Potash,Wheat
65,46,49,22.748589426689687,66.2528289280269,7.3160370908433245,Loamy,Organic Compost,Potash,Wheat
90,40,37,15.082586987406312,79.04197436152276,6.292625250996441,Sandy,Nitrogen Fertilizer,Potash,Corn
85,56,36,15.11496048973838,51.99694183742668,6.092651603799601,Clayey,Phosphorus Fertilizer,Calcium Nitrate,Soybean
82,41,45,18.286032136527865,69.44954022356286,5.78693891403604,Sandy,Organic Compost,Calcium Nitrate,Wheat
53,56,27,15.550820437512318,52.22316267724601,5.802891043870715,Loamy,Organic Compost,Urea,Barley
82,48,59,16.62038631196037,61.26406785399501,6.365542968683638,Sandy,Complete Fertilizer,Superphosphate,Wheat
63,51,31,20.082909740081273,74.1144363558034,6.6913596483230595,Clayey,Nitrogen Fertilizer,Superphosphate,Soybean
70,53,46,27.038785193697194,63.004166982669034,5.6612308103392035,Clayey,Potassium Fertilizer,Ammonium Nitrate,Corn
97,54,27,23.58072965053951,79.91547061708852,7.379137178050332,Sandy,Nitrogen Fertilizer,Calcium Nitrate,Wheat
69,36,44,22.690015889346245,66.77177854839806,7.010267234890392,Loamy,Potassium Fertilizer,Potash,Wheat
57,49,23,19.402332348121824,59.6348645790786,6.673247836567326,Sandy,Phosphorus Fertilizer,Potash,Barley
56,35,52,28.976305791492244,56.603339777142594,7.156877341877982,Loamy,Phosphorus Fertilizer,Ammonium Nitrate,Barley
52,50,20,20.955225618557876,60.51561602858486,5.660373513624227,Loamy,Organic Compost,Superphosphate,Wheat
66,53,38,16.306391501936574,61.175998212786524,6.4536777554662486,Sandy,Phosphorus Fertilizer,Potash,Wheat
82,30,50,24.25599774176702,52.06141033171883,6.760186253723327,Loamy,Organic Compost,Superphosphate,Barley
97,46,35,16.70757590214902,61.0872259828032,7.1573058122365785,Clayey,Nitrogen Fertilizer,Ammonium Nitrate,Soybean
61,58,33,20.17834714202538,63.927155592176746,7.066939120098535,Sandy,Phosphorus Fertilizer,Superphosphate,Rice
71,40,24,22.611179080767133,71.68213256716413,6.0541384994267995,Loamy,Nitrogen Fertilizer,Superphosphate,Rice
71,51,45,28.113337870277636,69.70188454164824,7.381760339118409,Clayey,Nitrogen Fertilizer,Superphosphate,Wheat
95,55,47,22.40319870510178,71.26296965687463,5.7486916828617405,Sandy,Phosphorus Fertilizer,Potash,Barley
79,57,21,25.533881490474965,50.25091045630571,7.250267237242304,Clayey,Nitrogen Fertilizer,Urea,Corn
87,47,25,29.892252584986053,56.53002198741608,7.441880499209237,Clayey,Phosphorus Fertilizer,Calcium Nitrate,Corn
87,50,28,16.972336798469726,69.85052865199569,5.854307046445252,Clayey,Phosphorus Fertilizer,Superphosphate,Rice
94,46,52,19.120972882792792,64.51968104539242,6.9441321284075705,Loamy,Phosphorus Fertilizer,Superphosphate,Soybean
57,36,44,20.918641133964698,50.15940427005038,5.5805710375559965,Sandy,Potassium Fertilizer,Superphosphate,Rice
76,46,32,21.32742267808247,74.13483927295468,6.31084565027831,Sandy,Nitrogen Fertilizer,Urea,Wheat
76,49,28,21.165316128983186,73.18428719871012,6.5325665983953485,Loamy,Complete Fertilizer,Ammonium Nitrate,Soybean
83,38,32,28.614165038348325,66.45257488980688,6.661290451819268,Sandy,Phosphorus Fertilizer,Potash,Corn
70,46,50,25.710489667002847,51.99389977328816,7.371874496497119,Clayey,Nitrogen Fertilizer,Urea,Barley
79,49,30,24.118578211360557,72.99545148597754,6.84450137458839,Sandy,Organic Compost,Superphosphate,Barley
82,51,23,19.64059076794173,67.51140763194093,6.462555902438474,Loamy,Phosphorus Fertilizer,Urea,Wheat
77,51,53,27.35685576331942,73.45879931473877,7.119350072531779,Clayey,Phosphorus Fertilizer,Urea,Rice
96,57,57,29.325907672274834,72.5524097718752,7.401065641908818,Loamy,Complete Fertilizer,Urea,Wheat
82,58,23,27.3179742382534,74.09006215873512,5.544132297364582,Clayey,Potassium Fertilizer,Ammonium Nitrate,Barley
54,37,57,15.023476577872094,65.54024199213875,7.465042544512078,Clayey,Potassium Fertilizer,Calcium Nitrate,Corn
97,46,38,24.546020552751106,54.20973554580545,5.6722642781273604,Sandy,Phosphorus Fertilizer,Potash,Barley
68,36,25,15.76703072163151,70.13472420139067,7.128773558537523,Clayey,Nitrogen Fertilizer,Ammonium Nitrate,Soybean
53,30,53,18.86410830500583,68.61421355155912,6.060669505102825,Loamy,Organic Compost,Ammonium Nitrate,Barley
84,42,37,15.892870505216575,72.26759561597262,5.764359315507743,Sandy,Organic Compost,Calcium Nitrate,Barley
98,59,32,24.056931794240818,55.09643018152206,6.37971127942767,Loamy,Nitrogen Fertilizer,Ammonium Nitrate,Soybean
66,52,42,25.2988487023891,55.849255997008676,6.787913158895227,Clayey,Phosphorus Fertilizer,Urea,Rice
93,48,38,16.717314570988577,76.71228551657985,6.26190369004695,Loamy,Organic Compost,Urea,Barley
77,56,30,20.75758324567469,72.49933395356213,5.609130816565398,Loamy,Potassium Fertilizer,Superphosphate,Wheat
79,53,20,21.84354763433313,77.24685466100969,6.698922279317433,Clayey,Nitrogen Fertilizer,Ammonium Nitrate,Barley
78,48,43,20.535795326413748,72.76145963491763,7.30480655222135,Sandy,Complete Fertilizer,Superphosphate,Wheat
95,59,26,16.815375007277897,67.91465917970905,6.266430731894504,Loamy,Phosphorus Fertilizer,Potash,Soybean
55,59,44,21.28421685281213,69.62398211083621,5.932665555261654,Clayey,Nitrogen Fertilizer,Urea,Barley
84,58,40,26.267670717126272,76.6738377182003,6.385154691865631,Sandy,Organic Compost,Potash,Soybean
90,46,34,16.06511496799883,67.36420263535821,5.5967254220975615,Sandy,Phosphorus Fertilizer,Calcium Nitrate,Soybean
86,42,20,16.202700211228553,68.97173972985162,7.14097516896055,Sandy,Potassium Fertilizer,Urea,Rice
73,58,31,20.321569377539763,54.69430148010802,7.152681621900373,Loamy,Phosphorus Fertilizer,Potash,Barley
78,59,26,29.125885674283875,64.21763660348309,6.676000926859257,Loamy,Phosphorus Fertilizer,Calcium Nitrate,Wheat
98,45,34,25.02858970084371,71.49191335874298,6.206205777876779,Loamy,Potassium Fertilizer,Potash,Wheat
95,37,40,25.180049350088474,58.128280949490964,7.099566728891567,Sandy,Potassium Fertilizer,Calcium Nitrate,Barley
80,48,38,20.428799862567974,56.067625415736046,6.609374049576735,Loamy,Phosphorus Fertilizer,Calcium Nitrate,Rice
84,47,48,23.904911868128075,59.414804246732466,7.151864617100032,Clayey,Potassium Fertilizer,Urea,Rice
82,30,44,15.15196776041615,57.245018839785004,6.762917585166042,Loamy,Nitrogen Fertilizer,Superphosphate,Rice
70,43,52,24.541440696143134,56.44737911109188,7.068810946425595,Loamy,Potassium Fertilizer,Calcium Nitrate,Wheat
81,48,51,28.69930421364355,62.74552528604261,6.69712598643552,Sandy,Potassium Fertilizer,Calcium Nitrate,Soybean
72,44,54,24.188602025172287,77.23515541650602,6.328282136431333,Loamy,Phosphorus Fertilizer,Urea,Rice
82,47,57,28.105478901995177,65.21178940216154,7.415891719852275,Clayey,Nitrogen Fertilizer,Superphosphate,Wheat
52,31,45,25.859595831991406,55.63761142445969,6.582227649757689,Sandy,Complete Fertilizer,Ammonium Nitrate,Wheat
67,51,30,16.808376246055353,52.309150081426225,6.710179037081077,Clayey,Complete Fertilizer,Ammonium Nitrate,Soybean
74,57,54,28.536799609287627,70.88468435413776,5.940975278829498,Sandy,Organic Compost,Superphosphate,Barley
91,46,27,15.996657665336624,61.48396293309163,6.751301578854553,Sandy,Potassium Fertilizer,Potash,Barley
80,47,33,23.009512088216457,74.65492839756078,6.643215298965888,Loamy,Potassium Fertilizer,Urea,Rice
52,59,29,17.132056856901865,69.7853230592231,5.8696767958940494,Clayey,Nitrogen Fertilizer,Superphosphate,Rice
89,35,21,15.17559916096356,73.88724351624106,5.619174194706288,Sandy,Complete Fertilizer,Ammonium Nitrate,Soybean
95,48,28,21.330513901914586,58.15838118255346,6.708718639429542,Loamy,Organic Compost,Calcium Nitrate,Rice
73,33,22,19.425610614812342,70.77076767383174,7.027384538700641,Sandy,Nitrogen Fertilizer,Ammonium Nitrate,Soybean
99,30,40,22.290007406964044,57.92185954081156,6.546802741844017,Sandy,Potassium Fertilizer,Calcium Nitrate,Wheat
81,37,45,23.65799830101826,78.17205438350875,5.953545250639292,Sandy,Complete Fertilizer,Urea,Rice
96,58,27,15.656086084634211,69.09122844600122,6.83304395338607,Sandy,Organic Compost,Calcium Nitrate,Wheat
71,52,21,16.845049426856185,59.73535400526026,5.660211453219205,Sandy,Phosphorus Fertilizer,Superphosphate,Corn
72,36,25,23.37963594675638,58.085355868768175,6.383667409603909,Sandy,Complete Fertilizer,Calcium Nitrate,Soybean
51,32,47,20.147510297589875,55.727797552149305,5.826733516796841,Loamy,Organic Compost,Potash,Corn
76,39,48,25.93760231324172,70.83922876681183,5.868918102119767,Sandy,Nitrogen Fertilizer,Superphosphate,Rice
91,39,45,24.784374728879094,56.561468389937815,5.904587898316407,Clayey,Phosphorus Fertilizer,Urea,Wheat
51,48,44,27.684065444848603,67.85909797782467,6.273414114087956,Loamy,Organic Compost,Superphosphate,Rice
75,43,31,25.38739240003838,57.93905080776072,5.602300411240796,Clayey,Organic Compost,Potash,Corn
66,31,24,21.448966160852223,69.85906834381606,6.295586881858196,Sandy,Potassium Fertilizer,Urea,Rice
89,57,53,25.09449933591649,74.44819185621617,6.5234148942294015,Clayey,Complete Fertilizer,Ammonium Nitrate,Barley
82,30,56,19.13071761383128,73.3407572943396,6.46658856993265,Sandy,Potassium Fertilizer,Potash,Corn
58,52,34,19.59470248167319,72.82553992792344,6.265568200806081,Sandy,Phosphorus Fertilizer,Urea,Rice
92,52,55,26.8347773988119,55.63167217076756,7.178293216141505,Loamy,Organic Compost,Calcium Nitrate,Wheat
97,57,34,21.696292746023733,52.651548409535565,5.790653384841008,Loamy,Potassium Fertilizer,Superphosphate,Rice
88,47,42,26.975705107775287,70.96846485462157,6.5113934875627475,Sandy,Complete Fertilizer,Urea,Wheat
78,36,25,27.336335605024175,61.05041641383054,5.624082833913109,Loamy,Phosphorus Fertilizer,Superphosphate,Barley
91,58,40,27.86343506491926,62.97038679210042,5.642311357755819,Clayey,Nitrogen Fertilizer,Calcium Nitrate,Rice
75,37,42,28.74952853761811,50.93447278380173,6.647731699354193,Loamy,Potassium Fertilizer,Urea,Barley
84,30,35,21.464778307699444,57.78729347825148,6.632036849775642,Loamy,Phosphorus Fertilizer,Ammonium Nitrate,Corn
99,54,34,19.783002274817083,51.01029211623392,7.256067025688914,Clayey,Nitrogen Fertilizer,Potash,Wheat
74,52,44,23.73298119891171,76.37557317803743,6.615747351320146,Loamy,Potassium Fertilizer,Urea,Corn
73,32,55,20.567586351564415,57.301900496555916,7.419582040809701,Sandy,Phosphorus Fertilizer,Calcium Nitrate,Wheat
62,53,30,24.016112502003494,66.72011508719024,5.597389696799859,Clayey,Phosphorus Fertilizer,Urea,Barley
56,52,34,25.58378793965737,51.16937961983391,5.696015369561482,Sandy,Potassium Fertilizer,Superphosphate,Soybean
85,56,23,25.326075277382053,70.00542173916975,5.588131723140763,Clayey,Phosphorus Fertilizer,Urea,Rice
94,58,40,20.61829330530182,59.69082037262282,5.87055370066708,Sandy,Organic Compost,Ammonium Nitrate,Barley
69,37,32,17.50290302548129,76.93757560872997,6.582540221883356,Sandy,Potassium Fertilizer,Urea,Wheat
50,51,41,21.457940076933113,76.64354566802108,6.7911443628548565,Loamy,Phosphorus Fertilizer,Potash,Wheat
57,54,38,17.13891216122863,59.758718550852436,5.591170315897338,Sandy,Nitrogen Fertilizer,Urea,Wheat
95,44,53,28.351455527757125,77.02882687071404,7.391941779691199,Loamy,Nitrogen Fertilizer,Superphosphate,Wheat
65,34,33,20.188161911067862,79.88473020496336,7.184330753300762,Clayey,Organic Compost,Urea,Rice
63,32,23,17.316896208349856,74.76246992371844,6.093224964314186,Sandy,Potassium Fertilizer,Ammonium Nitrate,Corn
61,48,46,15.381716398586263,75.34614043265687,5.654375060452936,Sandy,Phosphorus Fertilizer,Calcium Nitrate,Soybean
72,30,48,24.68733579429726,57.4702620832727,5.839774146438114,Clayey,Phosphorus Fertilizer,Urea,Rice
64,57,47,24.553534761821147,67.30107196573269,5.753888827509945,Clayey,Nitrogen Fertilizer,Urea,Wheat
77,44,54,20.109062498719375,52.017677419021034,5.746567558597894,Sandy,Organic Compost,Potash,Rice
83,37,27,16.075678332714766,52.84753810465009,6.537123377331468,Clayey,Nitrogen Fertilizer,Ammonium Nitrate,Barley
51,31,35,21.14443342342848,79.96677836099872,5.991694884986801,Loamy,Nitrogen Fertilizer,Calcium Nitrate,Wheat
81,32,55,19.668262425950903,59.799177482777324,6.216279433058289,Clayey,Organic Compost,Superphosphate,Soybean
72,53,49,25.15680959602514,72.44551736146539,7.4790106667686445,Clayey,Potassium Fertilizer,Urea,Wheat
71,43,37,24.086688741790354,74.19995159080449,6.86862849785069,Sandy,Phosphorus Fertilizer,Calcium Nitrate,Soybean
74,53,21,20.4689059229631,75.74069813021688,7.397961334094003,Loamy,Potassium Fertilizer,Superphosphate,Soybean
71,43,32,18.26838831382485,79.9288489220647,5.785113110066231,Clayey,Complete Fertilizer,Ammonium Nitrate,Corn
71,40,23,29.82053949233388,57.24489455770603,6.2642789496651385,Loamy,Complete Fertilizer,Ammonium Nitrate,Corn
98,45,45,21.810024317941725,51.21052480579099,6.6094636065647085,Loamy,Complete Fertilizer,Calcium Nitrate,Rice
91,33,44,25.324113536703557,62.335745539837575,5.653516123777476,Loamy,Organic Compost,Superphosphate,Rice
55,49,49,17.10829451367541,53.90242009486841,5.508374887255916,Sandy,Nitrogen Fertilizer,Ammonium Nitrate,Soybean
64,34,30,22.28384549489097,50.67277667486165,6.840868667593835,Clayey,Potassium Fertilizer,Calcium Nitrate,Wheat
92,51,26,15.413050798041983,60.812804814244586,6.783639033602871,Sandy,Phosphorus Fertilizer,Ammonium Nitrate,Barley
86,50,50,22.58182676865675,73.51214753225709,6.321577619999223,Clayey,Complete Fertilizer,Ammonium Nitrate,Barley
82,43,29,29.460261106765536,66.98542073675213,6.479288152064065,Clayey,Potassium Fertilizer,Ammonium Nitrate,Wheat
57,52,58,20.763100694787003,59.38333967631062,6.330886001184179,Sandy,Complete Fertilizer,Potash,Wheat
93,45,32,15.584940188623674,69.63026016478159,5.548010089689778,Loamy,Complete Fertilizer,Superphosphate,Corn
93,47,50,15.464336863790153,56.96054540926432,6.170743212434925,Loamy,Phosphorus Fertilizer,Calcium Nitrate,Barley
54,36,26,20.819801399203044,50.43144338216255,5.85416451079458,Clayey,Organic Compost,Calcium Nitrate,Soybean
88,39,55,17.40037404694791,72.93060159309282,5.696848378202738,Sandy,Nitrogen Fertilizer,Superphosphate,Rice
53,36,39,15.35028144492279,68.71229254592028,7.4134408677787,Loamy,Organic Compost,Superphosphate,Corn
55,30,23,26.343204209252654,72.86907873502881,6.698719450084331,Loamy,Potassium Fertilizer,Superphosphate,Barley
94,52,26,21.877845133228362,51.16814050062997,6.957312568473205,Clayey,Organic Compost,Superphosphate,Wheat
81,50,20,19.338671579589818,75.11358883491957,6.130727486532235,Clayey,Potassium Fertilizer,Urea,Barley
79,48,32,28.501247745247213,68.5857860010891,6.286294258988031,Sandy,Potassium Fertilizer,Calcium Nitrate,Soybean
96,45,41,16.742084403007883,66.9018605213792,5.973847987793447,Clayey,Nitrogen Fertilizer,Urea,Corn
84,58,40,29.338782434329786,68.73842144343595,5.693931341930849,Loamy,Phosphorus Fertilizer,Ammonium Nitrate,Wheat
89,48,41,19.70950076066029,75.93299740605093,5.858063274883167,Loamy,Nitrogen Fertilizer,Ammonium Nitrate,Soybean
65,33,47,28.32605508463022,67.60809519676721,7.0950280905929715,Loamy,Organic Compost,Calcium Nitrate,Rice
62,58,28,24.044143147191924,67.42851139664538,6.855091610367552,Loamy,Potassium Fertilizer,Ammonium Nitrate,Corn
99,57,45,27.40061039612231,79.72037471197297,6.593857751970954,Sandy,Complete Fertilizer,Superphosphate,Soybean
91,47,28,29.760197448156966,72.70190501205704,6.450179745733536,Sandy,Complete Fertilizer,Urea,Soybean
79,31,34,19.326081567281186,63.26881416353406,7.344868567312249,Clayey,Potassium Fertilizer,Superphosphate,Wheat
68,30,29,29.417032281113894,71.22191000098783,5.645469895557337,Clayey,Nitrogen Fertilizer,Ammonium Nitrate,Rice
66,44,43,20.842228423536305,61.67691415075365,6.061201626475832,Clayey,Phosphorus Fertilizer,Urea,Soybean
68,34,27,20.782678571053836,56.866263874504966,6.1998757071414285,Sandy,Nitrogen Fertilizer,Superphosphate,Corn
77,49,43,20.105806563817588,67.90555630663277,7.064851624425575,Loamy,Potassium Fertilizer,Calcium Nitrate,Soybean
75,40,35,23.121114110213778,77.84546294341854,7.485029240323943,Clayey,Potassium Fertilizer,Superphosphate,Barley
86,39,45,17.312175647677307,77.87418560046387,5.981341029514306,Loamy,Phosphorus Fertilizer,Ammonium Nitrate,Corn
75,31,46,23.305672280370167,60.25715834316471,7.248614668274161,Clayey,Organic Compost,Urea,Corn
72,32,56,23.12557218615006,65.83032398665085,7.161245520863583,Clayey,Organic Compost,Calcium Nitrate,Soybean
58,52,23,26.42852718907305,56.34907695709583,5.9493147952835335,Clayey,Phosphorus Fertilizer,Urea,Wheat
61,52,43,27.504749429063786,79.8689332849665,6.298665160398445,Clayey,Organic Compost,Calcium Nitrate,Corn
50,41,38,21.606620254686362,79.43353723603806,6.319345738585039,Clayey,Complete Fertilizer,Urea,Barley
50,49,55,19.534998740272407,69.48526789122342,7.456441337053117,Loamy,Organic Compost,Ammonium Nitrate,Wheat
96,34,58,18.890023459756417,74.1324217903242,5.861783802757797,Clayey,Organic Compost,Calcium Nitrate,Wheat
83,34,29,17.91935755057308,71.45300483851099,7.098315942209564,Loamy,Organic Compost,Potash,Wheat
81,35,44,15.864713732985374,67.79474657118405,6.16838542834622,Sandy,Complete Fertilizer,Urea,Corn
97,59,37,20.1367196825207,51.60043990966693,6.961740691552321,Clayey,Organic Compost,Urea,Wheat
74,38,38,19.053715381961748,63.64293027657983,6.340022008591326,Loamy,Complete Fertilizer,Superphosphate,Soybean
89,31,55,29.49626078799611,70.24358906502232,6.65671952623308,Sandy,Phosphorus Fertilizer,Calcium Nitrate,Wheat
94,50,29,23.36563239375066,70.32594841651054,7.165223546652262,Sandy,Nitrogen Fertilizer,Potash,Barley
50,41,52,20.209155585457612,61.19367855267151,7.108331129967768,Sandy,Phosphorus Fertilizer,Ammonium Nitrate,Rice
65,32,24,23.70701401490544,78.25075959974092,7.2328463670794,Loamy,Nitrogen Fertilizer,Superphosphate,Barley
88,49,54,17.087950520185434,55.020710967103426,5.619234650689318,Clayey,Phosphorus Fertilizer,Potash,Corn
54,55,53,21.66065623803304,65.01078338646681,6.884101106079489,Clayey,Nitrogen Fertilizer,Calcium Nitrate,Wheat
71,51,52,24.393514821315957,70.72651929652469,5.7799747534435255,Loamy,Nitrogen Fertilizer,Potash,Wheat
78,41,40,22.33346747688677,70.91407417675427,6.3316371360368215,Clayey,Potassium Fertilizer,Urea,Soybean
52,53,36,21.026682009814863,69.45916870306446,6.597176830109377,Loamy,Nitrogen Fertilizer,Urea,Wheat
61,46,41,29.907725833495473,58.2586464035558,6.305478969493661,Clayey,Nitrogen Fertilizer,Superphosphate,Barley
